#Meteo hourly data
#Site;Osternburg_FS50_GTI for standard PV_month
#Country;Germany
#Data Source;Helioclim3v4
#Time step;Hour
#Year;2059
#Latitude;53.1138
#Longitude;8.2664
#Altitude;5.0
#Time zone; 2
#Plane tilt;53
#Plane azimuth;0
Year;Month;Day;Hour;Minute;GHI;DHI;DNI;GPI;Tamb;WindVel;SunAlt;SunAzim;Press
;;;;;W/m2;W/m2;W/m2;W/m2;deg.C;m/s;deg;deg;Pa
2059;01;01;01;00;0;0;0;0;3.0;5.4;0.0;179.9;104412949
2059;01;01;02;00;0;0;0;0;1.5;7.6;0.0;-153.5;102846851
2059;01;01;03;00;0;0;0;0;1.9;7.8;0.0;-131.2;102773915
2059;01;01;04;00;0;0;0;0;2.0;7.8;0.0;-113.7;102699966
2059;01;01;05;00;0;0;0;0;2.3;8.8;0.0;-99.5;102643238
2059;01;01;06;00;0;0;0;0;2.6;9.0;0.0;-87.2;102596640
2059;01;01;07;00;0;0;0;0;2.8;8.3;0.0;-75.7;102569289
2059;01;01;08;00;0;0;0;0;2.9;7.5;0.0;-64.5;102592588
2059;01;01;09;00;0;0;0;1;2.8;6.7;0.0;-53.0;102637160
2059;01;01;10;00;16;15;11;20;2.6;6.1;4.4;-40.8;102674641
2059;01;01;11;00;42;39;17;48;2.6;6.0;9.5;-27.9;102693888
2059;01;01;12;00;109;76;145;223;2.7;6.1;12.8;-14.2;102697940
2059;01;01;13;00;118;91;109;199;2.9;6.2;13.9;-0.1;102689836
2059;01;01;14;00;89;75;63;130;3.0;5.9;12.8;14.1;102685784
2059;01;01;15;00;47;44;22;56;2.9;5.7;9.6;27.7;102697940
2059;01;01;16;00;18;16;12;23;2.4;5.6;4.5;40.7;102732382
2059;01;01;17;00;1;0;0;1;1.8;5.6;0.0;52.8;102773915
2059;01;01;18;00;0;0;0;0;1.5;5.5;0.0;64.4;102794175
2059;01;01;19;00;0;0;0;0;1.1;5.4;0.0;75.6;102804305
2059;01;01;20;00;0;0;0;0;0.9;5.4;0.0;87.1;102818487
2059;01;01;21;00;0;0;0;0;0.8;5.5;0.0;99.4;102828617
2059;01;01;22;00;0;0;0;0;0.9;5.9;0.0;113.6;102833682
2059;01;01;23;00;0;0;0;0;1.2;6.1;0.0;131.1;102843812
2059;01;01;24;00;0;0;0;0;1.2;6.0;0.0;153.2;102854955
2059;01;02;01;00;0;0;0;0;1.4;5.9;0.0;179.7;102867111
2059;01;02;02;00;0;0;0;0;1.6;5.9;0.0;-153.7;102869137
2059;01;02;03;00;0;0;0;0;1.8;5.8;0.0;-131.4;102881293
2059;01;02;04;00;0;0;0;0;1.7;5.7;0.0;-113.9;102891423
2059;01;02;05;00;0;0;0;0;1.5;5.6;0.0;-99.7;102893449
2059;01;02;06;00;0;0;0;0;1.2;5.7;0.0;-87.3;102904592
2059;01;02;07;00;0;0;0;0;1.0;5.7;0.0;-75.9;102931943
2059;01;02;08;00;0;0;0;0;0.8;5.5;0.0;-64.6;102972463
2059;01;02;09;00;1;1;1;1;0.6;5.3;0.0;-53.1;103018048
2059;01;02;10;00;25;23;21;34;0.8;5.4;4.5;-40.9;103059581
2059;01;02;11;00;72;60;72;120;1.3;5.4;9.6;-28.0;103096049
2059;01;02;12;00;84;69;71;133;1.7;5.4;12.8;-14.3;103114283
2059;01;02;13;00;101;80;87;164;1.9;5.3;14.0;-0.2;103101114
2059;01;02;14;00;57;53;18;62;1.9;5.2;12.9;14.0;103087945
2059;01;02;15;00;40;38;16;45;1.8;5.1;9.7;27.7;103085919
2059;01;02;16;00;15;14;10;19;1.4;4.9;4.6;40.6;103091997
2059;01;02;17;00;0;0;0;0;1.2;5.0;0.0;52.8;103100101
2059;01;02;18;00;0;0;0;0;1.3;5.2;0.0;64.3;103115296
2059;01;02;19;00;0;0;0;0;1.4;5.1;0.0;75.6;103132517
2059;01;02;20;00;0;0;0;0;1.5;4.9;0.0;87.1;103149738
2059;01;02;21;00;0;0;0;0;1.4;4.8;0.0;99.4;103168985
2059;01;02;22;00;0;0;0;0;1.3;4.6;0.0;113.6;103184180
2059;01;02;23;00;0;0;0;0;1.1;4.4;0.0;131.0;103202414
2059;01;02;24;00;0;0;0;0;0.8;4.2;0.0;153.1;103223687
2059;01;03;01;00;0;0;0;0;0.5;3.9;0.0;179.5;103216596
2059;01;03;02;00;0;0;0;0;-0.3;3.5;0.0;-154.0;103207479
2059;01;03;03;00;0;0;0;0;-1.1;3.5;0.0;-131.7;103204440
2059;01;03;04;00;0;0;0;0;-1.3;3.6;0.0;-114.1;103208492
2059;01;03;05;00;0;0;0;0;-1.3;3.5;0.0;-99.9;103215583
2059;01;03;06;00;0;0;0;0;-1.1;3.4;0.0;-87.5;103212544
