#Meteo hourly data
#Site;Osternburg_P90_GTI for standard PV_year
#Country;Germany
#Data Source;Helioclim3v4
#Time step;Hour
#Year;2059
#Latitude;53.1138
#Longitude;8.2664
#Altitude;5.0
#Time zone; 2
#Plane tilt;53
#Plane azimuth;0
Year;Month;Day;Hour;Minute;GHI;DHI;DNI;GPI;Tamb;WindVel;SunAlt;SunAzim;Press
;;;;;W/m2;W/m2;W/m2;W/m2;deg.C;m/s;deg;deg;Pa
2059;01;01;01;00;0;0;0;0;10.1;13.0;0.0;179.9;101580601
2059;01;01;02;00;0;0;0;0;3.2;6.1;0.0;-153.5;100638511
2059;01;01;03;00;0;0;0;0;3.2;5.8;0.0;-131.3;100695239
2059;01;01;04;00;0;0;0;0;3.0;5.6;0.0;-113.8;100744876
2059;01;01;05;00;0;0;0;0;2.8;5.5;0.0;-99.6;100788435
2059;01;01;06;00;0;0;0;0;2.6;5.5;0.0;-87.2;100833007
2059;01;01;07;00;0;0;0;0;2.5;5.2;0.0;-75.8;100895813
2059;01;01;08;00;0;0;0;0;2.4;5.0;0.0;-64.5;100961658
2059;01;01;09;00;0;0;0;0;2.3;4.9;0.0;-53.0;101044724
2059;01;01;10;00;12;12;8;15;2.5;4.8;4.4;-40.8;101132855
2059;01;01;11;00;32;30;12;35;2.8;4.5;9.5;-27.9;101218960
2059;01;01;12;00;50;46;14;52;3.1;4.2;12.8;-14.2;101286831
2059;01;01;13;00;63;59;19;68;3.3;3.8;13.9;-0.1;101327351
2059;01;01;14;00;58;54;20;65;3.3;3.1;12.8;14.0;101376988
2059;01;01;15;00;33;31;12;36;2.9;2.3;9.6;27.7;101447898
2059;01;01;16;00;13;12;9;16;2.4;2.3;4.5;40.7;101537042
2059;01;01;17;00;0;0;0;0;2.1;2.2;0.0;52.8;101626186
2059;01;01;18;00;0;0;0;0;2.1;2.1;0.0;64.4;101718369
2059;01;01;19;00;0;0;0;0;2.1;2.0;0.0;75.6;101812578
2059;01;01;20;00;0;0;0;0;2.1;2.0;0.0;87.1;101904761
2059;01;01;21;00;0;0;0;0;2.1;2.0;0.0;99.4;101999983
2059;01;01;22;00;0;0;0;0;2.1;2.0;0.0;113.6;102090140
2059;01;01;23;00;0;0;0;0;2.0;2.1;0.0;131.0;102182323
2059;01;01;24;00;0;0;0;0;1.9;2.2;0.0;153.2;102256272
2059;01;02;01;00;0;0;0;0;1.9;2.3;0.0;179.7;102324143
2059;01;02;02;00;0;0;0;0;1.9;2.3;0.0;-153.8;102395053
2059;01;02;03;00;0;0;0;0;2.1;2.4;0.0;-131.5;102472041
2059;01;02;04;00;0;0;0;0;2.2;2.5;0.0;-114.0;102552068
2059;01;02;05;00;0;0;0;0;2.2;2.5;0.0;-99.7;102622978
2059;01;02;06;00;0;0;0;0;2.3;2.4;0.0;-87.4;102686797
2059;01;02;07;00;0;0;0;0;2.4;2.4;0.0;-75.9;102762772
2059;01;02;08;00;0;0;0;0;2.4;2.5;0.0;-64.7;102844825
2059;01;02;09;00;0;0;0;0;2.3;2.6;0.0;-53.1;102928904
2059;01;02;10;00;15;14;10;19;2.3;2.8;4.5;-41.0;103022100
2059;01;02;11;00;39;36;15;44;2.7;3.3;9.6;-28.1;103107192
2059;01;02;12;00;56;52;17;61;2.9;3.6;12.8;-14.4;103165946
2059;01;02;13;00;82;73;36;100;3.0;3.6;14.0;-0.2;103190258
2059;01;02;14;00;76;68;35;93;3.0;3.7;12.9;13.9;103221661
2059;01;02;15;00;51;47;24;61;2.7;3.4;9.7;27.6;103275350
2059;01;02;16;00;20;19;14;26;1.8;2.9;4.7;40.6;103352338
2059;01;02;17;00;1;1;1;1;0.6;2.8;0.0;52.8;103427300
2059;01;02;18;00;0;0;0;0;0.2;2.7;0.0;64.3;103485041
2059;01;02;19;00;0;0;0;0;-0.2;2.6;0.0;75.6;103536704
