#Meteo hourly data
#Site;Wechloy_FS50_GTI for standard PV_month
#Country;Germany
#Data Source;Helioclim3v4
#Time step;Hour
#Year;2059
#Latitude;53.1523
#Longitude;8.1660
#Altitude;6.0
#Time zone; 2
#Plane tilt;53
#Plane azimuth;0
Year;Month;Day;Hour;Minute;GHI;DHI;DNI;GPI;Tamb;WindVel;SunAlt;SunAzim;Press
;;;;;W/m2;W/m2;W/m2;W/m2;deg.C;m/s;deg;deg;Pa
2059;01;01;01;00;0;0;0;0;3.1;5.6;0.0;179.8;104433209
2059;01;01;02;00;0;0;0;0;1.6;7.7;0.0;-153.7;102869137
2059;01;01;03;00;0;0;0;0;2.1;7.9;0.0;-131.4;102795188
2059;01;01;04;00;0;0;0;0;2.2;7.9;0.0;-113.9;102723265
2059;01;01;05;00;0;0;0;0;2.6;8.9;0.0;-99.6;102668563
2059;01;01;06;00;0;0;0;0;2.8;9.0;0.0;-87.3;102622978
2059;01;01;07;00;0;0;0;0;3.0;8.3;0.0;-75.8;102599679
2059;01;01;08;00;0;0;0;0;3.1;7.5;0.0;-64.6;102625004
2059;01;01;09;00;0;0;0;1;2.9;6.7;0.0;-53.0;102670589
2059;01;01;10;00;17;16;13;23;2.7;6.1;4.4;-40.9;102708070
2059;01;01;11;00;48;44;23;58;2.7;6.0;9.5;-28.0;102727317
2059;01;01;12;00;108;77;137;215;2.9;6.2;12.7;-14.3;102732382
2059;01;01;13;00;120;91;119;210;3.1;6.2;13.8;-0.2;102723265
2059;01;01;14;00;87;74;57;123;3.2;6.0;12.8;14.0;102719213
2059;01;01;15;00;48;44;22;57;3.0;5.7;9.6;27.6;102732382
2059;01;01;16;00;18;17;12;23;2.5;5.6;4.5;40.6;102765811
2059;01;01;17;00;1;1;1;1;1.9;5.6;0.0;52.8;102808357
2059;01;01;18;00;0;0;0;0;1.6;5.5;0.0;64.3;102827604
2059;01;01;19;00;0;0;0;0;1.2;5.4;0.0;75.6;102835708
2059;01;01;20;00;0;0;0;0;1.0;5.4;0.0;87.0;102849890
2059;01;01;21;00;0;0;0;0;0.9;5.6;0.0;99.4;102860020
2059;01;01;22;00;0;0;0;0;1.1;6.0;0.0;113.5;102865085
2059;01;01;23;00;0;0;0;0;1.4;6.2;0.0;131.0;102875215
2059;01;01;24;00;0;0;0;0;1.5;6.0;0.0;153.1;102889397
2059;01;02;01;00;0;0;0;0;1.6;6.0;0.0;179.6;102901553
2059;01;02;02;00;0;0;0;0;1.8;6.0;0.0;-153.9;102903579
2059;01;02;03;00;0;0;0;0;1.9;5.9;0.0;-131.6;102915735
2059;01;02;04;00;0;0;0;0;1.8;5.7;0.0;-114.1;102925865
2059;01;02;05;00;0;0;0;0;1.5;5.6;0.0;-99.8;102926878
2059;01;02;06;00;0;0;0;0;1.3;5.7;0.0;-87.4;102939034
2059;01;02;07;00;0;0;0;0;1.1;5.6;0.0;-76.0;102965372
2059;01;02;08;00;0;0;0;0;0.9;5.4;0.0;-64.7;103004879
2059;01;02;09;00;1;1;1;1;0.7;5.2;0.0;-53.2;103050464
2059;01;02;10;00;28;26;27;43;1.0;5.3;4.4;-41.0;103090984
2059;01;02;11;00;84;64;116;169;1.5;5.4;9.5;-28.1;103126439
2059;01;02;12;00;82;67;72;132;1.8;5.4;12.8;-14.4;103145686
2059;01;02;13;00;110;80;123;205;2.1;5.3;13.9;-0.3;103132517
2059;01;02;14;00;63;58;22;71;2.1;5.2;12.9;13.9;103119348
2059;01;02;15;00;40;38;16;45;1.9;5.1;9.7;27.6;103116309
2059;01;02;16;00;16;15;11;20;1.6;4.9;4.7;40.5;103123400
2059;01;02;17;00;0;0;1;1;1.3;5.0;0.0;52.7;103130491
2059;01;02;18;00;0;0;0;0;1.5;5.2;0.0;64.3;103145686
2059;01;02;19;00;0;0;0;0;1.6;5.2;0.0;75.5;103163920
2059;01;02;20;00;0;0;0;0;1.6;5.0;0.0;87.0;103181141
2059;01;02;21;00;0;0;0;0;1.5;4.9;0.0;99.3;103200388
2059;01;02;22;00;0;0;0;0;1.4;4.7;0.0;113.5;103215583
2059;01;02;23;00;0;0;0;0;1.2;4.4;0.0;130.9;103233817
2059;01;02;24;00;0;0;0;0;0.9;4.2;0.0;152.9;103255090
2059;01;03;01;00;0;0;0;0;0.5;3.9;0.0;179.3;103247999
2059;01;03;02;00;0;0;0;0;-0.2;3.6;0.0;-154.1;103238882
2059;01;03;03;00;0;0;0;0;-0.9;3.5;0.0;-131.8;103236856
2059;01;03;04;00;0;0;0;0;-1.0;3.6;0.0;-114.3;103239895
2059;01;03;05;00;0;0;0;0;-1.0;3.5;0.0;-100.0;103244960
2059;01;03;06;00;0;0;0;0;-0.9;3.4;0.0;-87.6;103242934
2059;01;03;07;00;0;0;0;0;-0.9;3.3;0.0;-76.1;103250025
2059;01;03;08;00;0;0;0;0;-1.1;3.3;0.0;-64.8;103264207
2059;01;03;09;00;1;1;0;1;-1.5;3.3;0.0;-53.3;103280415
2059;01;03;10;00;21;20;16;28;-1.0;3.2;4.4;-41.2;103302701
2059;01;03;11;00;57;51;35;75;0.7;3.5;9.6;-28.2;103311818
2059;01;03;12;00;69;63;29;82;1.7;3.9;12.8;-14.6;103315870
2059;01;03;13;00;69;63;22;75;2.0;3.7;14.0;-0.4;103297636
2059;01;03;14;00;80;70;46;107;2.0;3.8;13.0;13.8;103263194
2059;01;03;15;00;54;50;28;67;1.8;3.7;9.8;27.5;103244960
2059;01;03;16;00;22;21;15;28;1.3;3.4;4.8;40.5;103233817
2059;01;03;17;00;1;1;1;1;0.8;3.4;0.0;52.7;103229765
2059;01;03;18;00;0;0;0;0;0.7;3.8;0.0;64.2;103208492
2059;01;03;19;00;0;0;0;0;0.5;3.9;0.0;75.5;103187219
2059;01;03;20;00;0;0;0;0;0.3;4.0;0.0;87.0;103177089
2059;01;03;21;00;0;0;0;0;0.2;4.2;0.0;99.3;103166959
2059;01;03;22;00;0;0;0;0;0.0;4.3;0.0;113.5;103154803
2059;01;03;23;00;0;0;0;0;-0.1;4.3;0.0;130.8;103137582
2059;01;03;24;00;0;0;0;0;-0.3;4.3;0.0;152.8;103120361
2059;01;04;01;00;0;0;0;0;-0.5;4.1;0.0;179.1;103081867
2059;01;04;02;00;0;0;0;0;-0.9;4.0;0.0;-154.4;103026152
2059;01;04;03;00;0;0;0;0;-1.1;4.2;0.0;-132.1;102977528
2059;01;04;04;00;0;0;0;0;-1.1;4.2;0.0;-114.5;102938021
2059;01;04;05;00;0;0;0;0;-1.2;4.2;0.0;-100.2;102895475
2059;01;04;06;00;0;0;0;0;-1.4;4.1;0.0;-87.8;102853942
2059;01;04;07;00;0;0;0;0;-1.4;4.2;0.0;-76.3;102821526
2059;01;04;08;00;0;0;0;0;-1.5;4.4;0.0;-65.0;102808357
2059;01;04;09;00;0;0;0;1;-1.4;4.7;0.0;-53.5;102811396
2059;01;04;10;00;20;19;14;26;-0.9;5.2;4.5;-41.3;102797214
2059;01;04;11;00;51;46;24;61;-0.1;5.7;9.6;-28.4;102775941
2059;01;04;12;00;70;64;27;80;0.8;5.9;12.9;-14.7;102741499
2059;01;04;13;00;75;68;26;84;1.3;6.0;14.1;-0.5;102690849
2059;01;04;14;00;58;54;18;63;1.5;6.2;13.1;13.7;102636147
2059;01;04;15;00;44;41;17;49;1.4;6.2;9.9;27.4;102602718
2059;01;04;16;00;19;18;12;23;0.8;6.2;4.9;40.4;102599679
2059;01;04;17;00;1;1;1;1;0.2;6.4;0.0;52.6;102592588
2059;01;04;18;00;0;0;0;0;-0.1;6.5;0.0;64.2;102576380
2059;01;04;19;00;0;0;0;0;-0.4;6.7;0.0;75.5;102550042
2059;01;04;20;00;0;0;0;0;-0.8;6.7;0.0;87.0;102530795
2059;01;04;21;00;0;0;0;0;-1.1;6.7;0.0;99.3;102534847
2059;01;04;22;00;0;0;0;0;-1.4;6.7;0.0;113.4;102530795
2059;01;04;23;00;0;0;0;0;-1.8;6.8;0.0;130.7;102517626
2059;01;04;24;00;0;0;0;0;-2.2;6.7;0.0;152.7;102500405
2059;01;05;01;00;0;0;0;0;-2.6;6.5;0.0;178.9;102472041
2059;01;05;02;00;0;0;0;0;-3.0;6.4;0.0;-154.6;102444690
2059;01;05;03;00;0;0;0;0;-3.5;6.3;0.0;-132.3;102424430
2059;01;05;04;00;0;0;0;0;-4.3;6.2;0.0;-114.7;102401131
2059;01;05;05;00;0;0;0;0;-4.7;6.5;0.0;-100.3;102372767
2059;01;05;06;00;0;0;0;0;-5.0;6.7;0.0;-87.9;102342377
2059;01;05;07;00;0;0;0;0;-5.3;6.6;0.0;-76.4;102310974
2059;01;05;08;00;0;0;0;0;-5.7;6.5;0.0;-65.1;102297805
2059;01;05;09;00;1;1;1;1;-5.7;6.7;0.0;-53.6;102298818
2059;01;05;10;00;36;31;47;65;-5.3;6.8;4.5;-41.4;102278558
2059;01;05;11;00;101;65;205;260;-4.5;6.5;9.7;-28.5;102245129
2059;01;05;12;00;134;86;211;302;-3.5;6.5;13.0;-14.8;102202583
2059;01;05;13;00;148;94;215;323;-2.5;6.6;14.2;-0.6;102148894
2059;01;05;14;00;129;88;180;270;-2.0;6.7;13.2;13.6;102085075
2059;01;05;15;00;110;66;243;298;-2.1;6.3;10.1;27.4;102022269
2059;01;05;16;00;42;35;62;82;-2.8;6.0;5.1;40.4;101952372
2059;01;05;17;00;2;2;3;3;-4.0;6.0;0.0;52.6;101877410
2059;01;05;18;00;0;0;0;0;-4.9;6.2;0.0;64.2;101799409
2059;01;05;19;00;0;0;0;0;-5.4;6.5;0.0;75.5;101706213
2059;01;05;20;00;0;0;0;0;-5.7;6.9;0.0;87.0;101596809
2059;01;05;21;00;0;0;0;0;-5.9;7.1;0.0;99.3;101486392
2059;01;05;22;00;0;0;0;0;-5.6;7.3;0.0;113.4;101372936
2059;01;05;23;00;0;0;0;0;-4.5;7.6;0.0;130.7;101258467
2059;01;05;24;00;0;0;0;0;-3.5;7.6;0.0;152.6;101134881
2059;01;06;01;00;0;0;0;0;-2.7;7.5;0.0;178.7;100984957
2059;01;06;02;00;0;0;0;0;-2.2;7.4;0.0;-154.9;100821864
2059;01;06;03;00;0;0;0;0;-1.4;7.5;0.0;-132.5;100707395
2059;01;06;04;00;0;0;0;0;-0.2;7.4;0.0;-114.9;100627368
2059;01;06;05;00;0;0;0;0;1.0;7.8;0.0;-100.5;100570640
2059;01;06;06;00;0;0;0;0;1.4;7.0;0.0;-88.1;100535185
2059;01;06;07;00;0;0;0;0;1.3;6.6;0.0;-76.6;100534172
2059;01;06;08;00;0;0;0;0;1.2;6.1;0.0;-65.3;100560510
2059;01;06;09;00;0;0;0;0;1.3;5.8;0.0;-53.7;100606095
2059;01;06;10;00;16;15;11;21;1.6;6.0;4.6;-41.6;100647628
2059;01;06;11;00;41;38;16;46;1.9;5.6;9.8;-28.6;100693213
2059;01;06;12;00;59;55;18;63;2.2;5.0;13.1;-14.9;100735759
2059;01;06;13;00;72;66;24;80;2.4;4.6;14.3;-0.7;100749941
2059;01;06;14;00;63;58;20;69;2.5;3.9;13.3;13.5;100723603
2059;01;06;15;00;47;43;19;53;2.3;3.5;10.2;27.3;100706382
2059;01;06;16;00;20;19;12;25;2.0;3.1;5.2;40.3;100665862
2059;01;06;17;00;1;1;1;1;1.7;3.1;0.0;52.6;100609134
2059;01;06;18;00;0;0;0;0;1.7;3.4;0.0;64.2;100547341
2059;01;06;19;00;0;0;0;0;1.6;3.3;0.0;75.5;100487574
2059;01;06;20;00;0;0;0;0;1.6;2.7;0.0;87.0;100429833
2059;01;06;21;00;0;0;0;0;1.5;2.1;0.0;99.3;100408560
2059;01;06;22;00;0;0;0;0;1.4;1.4;0.0;113.4;100435911
2059;01;06;23;00;0;0;0;0;1.4;2.0;0.0;130.6;100516951
2059;01;06;24;00;0;0;0;0;1.2;3.6;0.0;152.4;100673966
2059;01;07;01;00;0;0;0;0;0.7;4.6;0.0;178.5;100868462
2059;01;07;02;00;0;0;0;0;1.2;5.0;0.0;-155.1;101071062
2059;01;07;03;00;0;0;0;0;1.8;4.9;0.0;-132.8;101260493
2059;01;07;04;00;0;0;0;0;2.2;4.4;0.0;-115.1;101417508
2059;01;07;05;00;0;0;0;0;2.1;3.7;0.0;-100.7;101541094
2059;01;07;06;00;0;0;0;0;1.6;3.1;0.0;-88.3;101633277
2059;01;07;07;00;0;0;0;0;0.9;2.6;0.0;-76.7;101730525
2059;01;07;08;00;0;0;0;0;0.7;2.0;0.0;-65.4;101830812
2059;01;07;09;00;1;1;1;1;1.2;1.2;0.0;-53.9;101929073
2059;01;07;10;00;25;23;19;33;1.4;1.0;4.7;-41.7;101988840
2059;01;07;11;00;68;59;52;100;1.9;2.1;9.9;-28.8;102018217
2059;01;07;12;00;132;86;195;287;2.3;3.3;13.2;-15.0;102015178
2059;01;07;13;00;110;88;88;172;2.3;3.9;14.5;-0.8;101971619
2059;01;07;14;00;65;60;22;72;2.2;4.5;13.5;13.4;101901722
2059;01;07;15;00;50;47;21;58;1.8;5.2;10.4;27.2;101826760
2059;01;07;16;00;21;19;13;25;1.8;5.5;5.4;40.3;101759902
2059;01;07;17;00;1;1;2;2;1.9;4.9;0.0;52.5;101691018
2059;01;07;18;00;0;0;0;0;2.2;4.4;0.0;64.2;101616056
2059;01;07;19;00;0;0;0;0;2.4;4.1;0.0;75.5;101587692
2059;01;07;20;00;0;0;0;0;2.7;4.2;0.0;87.0;101568445
2059;01;07;21;00;0;0;0;0;2.9;4.3;0.0;99.3;101545146
