#Meteo hourly data
#Site;Wechloy_P90_GTI for standard PV_year
#Country;Germany
#Data Source;Helioclim3v4
#Time step;Hour
#Year;2059
#Latitude;53.1523
#Longitude;8.1660
#Altitude;6.0
#Time zone; 2
#Plane tilt;53
#Plane azimuth;0
Year;Month;Day;Hour;Minute;GHI;DHI;DNI;GPI;Tamb;WindVel;SunAlt;SunAzim;Press
;;;;;W/m2;W/m2;W/m2;W/m2;deg.C;m/s;deg;deg;Pa
2059;01;01;01;00;0;0;0;0;1.9;7.7;0.0;179.8;102966385
2059;01;01;02;00;0;0;0;0;-0.3;6.1;0.0;-153.7;100996100
2059;01;01;03;00;0;0;0;0;-0.4;6.1;0.0;-131.5;100991035
2059;01;01;04;00;0;0;0;0;-0.6;5.8;0.0;-113.9;100979892
2059;01;01;05;00;0;0;0;0;-0.9;5.4;0.0;-99.7;100971788
2059;01;01;06;00;0;0;0;0;-1.2;5.2;0.0;-87.3;100974827
2059;01;01;07;00;0;0;0;0;-1.4;5.0;0.0;-75.9;100996100
2059;01;01;08;00;0;0;0;0;-1.7;4.8;0.0;-64.6;101026490
2059;01;01;09;00;0;0;0;0;-2.0;4.8;0.0;-53.1;101057893
2059;01;01;10;00;17;16;12;22;-1.8;5.2;4.4;-40.9;101095374
2059;01;01;11;00;44;40;18;50;-1.2;5.5;9.5;-28.0;101137920
2059;01;01;12;00;71;63;35;89;-0.7;5.6;12.7;-14.3;101182492
2059;01;01;13;00;76;70;29;88;-0.4;5.6;13.9;-0.2;101199713
2059;01;01;14;00;70;63;28;81;-0.3;5.3;12.8;13.9;101208830
2059;01;01;15;00;51;47;25;62;-0.5;4.7;9.6;27.6;101234155
2059;01;01;16;00;21;19;15;27;-1.2;3.9;4.6;40.6;101286831
2059;01;01;17;00;1;1;1;1;-2.2;3.6;0.0;52.7;101344572
2059;01;01;18;00;0;0;0;0;-2.5;3.7;0.0;64.3;101405352
2059;01;01;19;00;0;0;0;0;-2.6;3.7;0.0;75.6;101473223
2059;01;01;20;00;0;0;0;0;-3.0;3.5;0.0;87.0;101550211
2059;01;01;21;00;0;0;0;0;-3.6;3.3;0.0;99.4;101625173
2059;01;01;22;00;0;0;0;0;-4.3;3.2;0.0;113.5;101695070
2059;01;01;23;00;0;0;0;0;-4.8;3.1;0.0;130.9;101768006
2059;01;01;24;00;0;0;0;0;-5.2;3.0;0.0;153.1;101817643
2059;01;02;01;00;0;0;0;0;-5.4;2.8;0.0;179.5;101862215
2059;01;02;02;00;0;0;0;0;-5.3;2.5;0.0;-154.0;101912865
2059;01;02;03;00;0;0;0;0;-5.1;2.3;0.0;-131.7;101976684
2059;01;02;04;00;0;0;0;0;-4.8;2.0;0.0;-114.1;102050633
2059;01;02;05;00;0;0;0;0;-4.4;1.6;0.0;-99.9;102127621
2059;01;02;06;00;0;0;0;0;-4.1;1.1;0.0;-87.5;102197518
2059;01;02;07;00;0;0;0;0;-3.9;0.8;0.0;-76.0;102262350
2059;01;02;08;00;0;0;0;0;-3.9;0.8;0.0;-64.7;102325156
2059;01;02;09;00;0;0;0;0;-3.8;1.1;0.0;-53.2;102387962
